Ref.,Paradosis,Conjecture,Author,Year,Attested Place,Rem.
Soph. Aj. 98,ὥστ',ὡς,Elmsley,n.d.,Paris. suppl. gr. 109 (Q),
Soph. Aj. 135,-άλου,ἀγχίαλον,F. H. Bothe,n.d.,Laur. 32.40 (H),
Soph. Aj. 146,λοιπή,κοινή,Henrik van Herwerden,1866,Gγρ,ad OT 591
Soph. Aj. 181,μαχαναῖς,μη-,G. Wolff,1858–65,Laur. 32.40 (H),
Soph. Aj. 194,ποτὲ,ποτὶ,Ritschl,,Vat. gr. 1333 (Zc),
Soph. Aj. 211,δορι-/δορυ-,δουριάλωτον,Brunck,1786,Livineii 'V',
Soph. Aj. 230,παραπλήκτῳ,-άκτῳ,Frederick H. M. Blaydes,n.d.,H s.l.,
Soph. Aj. 369,ἐκνεμῇ,-εῖς,Frederick H. M. Blaydes,n.d.,KpcD,
Soph. Aj. 378,ἔχειν,ἔχῃ,Valckenaer,pre-1775,Paris. gr. 2735 (C),
Soph. Aj. 379,πάνθ ̓ ὁ.,πᾶν θ ̓ ὁρῶν,Elmsley,n.d.,pXs,
Soph. Aj. 382,ἄγεις,ἔχεις,Henrik van Herwerden,1868,Vat. gr. 2291 (R),p. 12
Soph. Aj. 423,-έω,ἐξερῶ,Porson,n.d.,Hac,
Soph. Aj. 456,γ ̓ ἂν,τἂν,Elmsley,n.d.,QC,
Soph. Aj. 457,δρᾶν,δρᾶν μ',Morstadt,n.d.,QC,
Soph. Aj. 467,μόνος μόνοις,μόνος μόνῳ,Mekler,1885,Cac,
Soph. Aj. 477,βροτὸν,-ῶν,C. E. Palmer,1878,Stob. cod. Aac,
Soph. Aj. 503,οἵας λατρείας,οἵαν -αν,Frederick H. M. Blaydes,n.d.,p,
Soph. Aj. 560,ὑβρίσῃ,ὑβρίσει,Valckenaer,1743–6,MS,
Soph. Aj. 625,δὲ,τε,Hermann,1848,Sud. s.v. ἔντροφος,ed. ter.
Soph. Aj. 687,θ',δ',Frederick H. M. Blaydes,n.d.,Laur. 28.25 (F),
Soph. Aj. 689,ἅμα,(ὑμῶν) μετὰ,Naber,n.d.,Laur. 31.10 (K),γρ
Soph. Aj. 727,ὡς,ὥς τ ̓,Samuel Musgrave,1800,KF,
Soph. Aj. 742,-ρήκ-,παρείκειν,Reiske,1753,Laur. 32.40 (H),
Soph. Aj. 756,τῇδέ θ ̓,τῇδ' ἐθ’,Markland,s.xviii med.,MS,
Soph. Aj. 773,τότ'/ὅδ',τόδ',Johannes Pierson,2009,Laur. 32.40 (H),GRBS
Soph. Aj. 836,δ',θ',Johannes Livineius,1581–2,Bos. q. 7 (J),
Soph. Aj. 842,ἐκγόνων,ἐκγόνων τ’,Markland,s.xviii med.,MSS,
Soph. Aj. 842,ἐκγόνων,ἐκγόνων τ’,Samuel Musgrave,1800,MSS,
Soph. Aj. 882,Ὀλυμπιάδων,-αδᾶν,Elmsley,n.d.,Matrit. gr. 4677 (N),
Soph. Aj. 956,ὁ π.,πολύτλας,Porson,n.d.,Ambros. E. 1035 sup. (Wa),
Soph. Aj. 964,τἀγαθὸν ἐ.,τἀγάθ ̓ ἐν,Reiske,1753,Bos. q. 7 (J),
Soph. Aj. 1051,ὑβρίσῃ,οὔκουν,Valckenaer,1743–6,Vat. gr. 1333 (Zc),
Soph. Aj. 1065,παραλίοις,-ος,Naber,n.d.,Vat. gr. 2291 (R),
Soph. Aj. 1098,τὸν,τόνδ’,Markland,s.xviii med.,Laur. 32. 9 (L),
Soph. Aj. 1101,ἤγετ ̓/ἡγεῖτ ̓,ἤγαγ ̓,Elmsley,n.d.,Palat. gr. 40 (P),
Soph. Aj. 1117,ὡς,ἔστ',Reiske,1753,Urb. gr. 141 (S),
Soph. Aj. 1205,ἀπέπαυσεν,-σε μ ̓,Frederick H. M. Blaydes,n.d.,Urb. gr. 141 (S),
Soph. Aj. 1237,ἔχειν,ποῖ,Valckenaer,pre-1775,cod. rec.,
Soph. Aj. 1243,ἤρεσκεν,ἤρκεσε,Johannes Pierson,2009,MS,GRBS
